monthly_income,rent,food,emi,transport,subscriptions,savings,emergency_fund_months,dependents,health_label
6211,1722,1050,341,481,306,2247,1,3,Stable
1671,355,398,238,123,64,450,4,1,Stable
3956,995,741,744,337,52,153,0,1,Critical
1925,638,245,402,164,77,294,10,1,At Risk
2397,479,473,662,72,30,703,8,0,Stable
3522,817,598,922,319,75,569,3,3,At Risk
8582,2584,2057,845,328,253,1679,11,0,Stable
2701,528,335,97,90,55,315,8,0,Stable
4022,665,831,125,347,44,1297,2,3,Stable
1825,379,369,530,65,50,244,0,0,At Risk
3370,614,834,966,111,133,518,2,4,At Risk
1267,425,234,311,59,29,426,8,3,At Risk
3043,948,702,895,202,101,415,7,2,Critical
11491,3179,1191,945,1044,253,4064,10,0,Stable
3201,1038,379,792,301,40,1259,0,2,At Risk
8386,2605,1273,1263,517,403,1473,10,4,At Risk
8334,1561,1607,1998,594,255,2916,3,2,Stable
3116,1023,521,571,295,152,667,9,2,Stable
2761,711,360,700,232,136,1103,3,3,Stable
10863,3383,2046,1294,798,424,2063,7,4,At Risk
1781,586,329,528,83,25,168,4,4,Critical
1389,296,248,91,87,47,20,10,3,Stable
6985,1201,793,1409,629,323,2416,2,1,At Risk
2599,508,621,625,134,107,98,10,2,At Risk
2076,488,392,364,83,94,160,11,0,At Risk
3574,1120,498,311,145,40,548,3,2,Stable
3108,1001,631,523,261,129,693,7,1,At Risk
1474,223,217,223,61,51,528,2,4,Stable
12083,3046,2125,689,400,595,3302,1,0,Stable
12104,2826,1829,2771,1086,388,3092,10,2,Stable
1552,301,360,124,148,40,439,5,3,Stable
3411,593,849,851,337,136,533,5,3,Critical
3069,667,381,197,170,64,960,2,1,Stable
5670,1919,587,854,531,266,778,2,0,At Risk
6342,1361,842,1322,258,167,1499,0,1,At Risk
2102,533,396,627,209,46,563,7,0,At Risk
2558,743,322,207,79,100,485,7,3,Stable
3081,686,683,587,167,143,33,5,2,At Risk
3231,1112,521,148,265,48,867,2,2,Stable
3756,1286,719,923,270,81,165,9,4,Critical
9736,1950,1638,2516,564,116,2357,9,1,Stable
1814,452,427,483,64,49,379,3,4,At Risk
3520,739,370,998,340,47,876,11,2,Stable
2039,422,426,217,183,84,345,2,2,At Risk
3079,484,609,615,108,42,1035,3,1,Stable
1710,464,337,161,141,64,319,3,3,Stable
3693,925,598,890,153,141,272,6,4,At Risk
1562,250,159,194,152,36,217,11,1,Stable
3914,805,796,651,135,144,840,11,3,Stable
3963,1314,889,158,169,90,1175,4,0,Stable
5295,1047,597,1351,445,99,2095,6,3,Stable
9683,1733,1609,1402,302,211,1957,6,4,Stable
7063,1750,878,1357,645,302,1376,2,4,Stable
1916,665,367,384,92,92,346,9,1,At Risk
3585,711,780,294,323,82,1004,0,1,Stable
3775,1073,755,900,237,109,151,8,2,Critical
9903,2993,1462,2474,336,224,2125,5,1,Stable
2722,537,329,421,184,50,895,9,4,Stable
3244,959,710,878,261,45,786,3,4,At Risk
3222,720,478,155,217,77,1230,7,3,Stable
1386,383,143,172,128,45,532,8,0,Stable
11301,3127,2098,150,934,354,4327,2,4,Stable
3560,915,487,425,137,52,1121,5,1,Stable
3478,584,786,1040,115,142,1084,11,0,Stable
12017,3810,1459,1669,664,419,3598,6,0,Stable
4237,907,700,532,335,105,102,3,3,At Risk
3295,617,454,679,296,143,1187,3,0,Stable
7385,1167,1502,107,666,224,1188,4,2,Stable
1866,500,340,198,64,34,199,9,1,Stable
3046,869,666,487,263,142,307,10,4,At Risk
3442,527,580,499,172,99,297,11,2,At Risk
3076,776,309,592,290,75,644,3,1,Stable
1660,324,219,69,107,73,554,4,3,Stable
8555,2387,2137,1033,347,336,879,0,3,At Risk
12375,2287,1989,2352,1231,263,1244,6,0,Stable
2307,664,445,208,102,43,686,2,3,Stable
3361,764,792,617,165,71,31,5,2,At Risk
1443,486,148,414,96,33,328,6,3,At Risk
1266,224,251,353,40,29,25,3,1,At Risk
11587,2528,1659,2521,1017,349,1490,1,3,At Risk
4141,715,587,220,255,141,281,4,0,Stable
10885,3645,1455,2560,594,220,2561,11,3,At Risk
6055,1970,1352,811,368,166,126,7,3,Critical
3348,674,522,955,327,124,1300,11,1,Stable
3570,1006,392,654,230,100,210,7,3,At Risk
2972,931,340,194,245,97,860,7,4,Stable
8471,2211,1035,793,263,103,2639,9,1,Stable
2559,654,600,244,212,107,170,5,2,At Risk
3447,683,565,285,126,90,1135,5,3,Stable
1484,250,352,343,126,65,13,6,1,At Risk
8854,2916,1971,894,834,241,2337,5,1,At Risk
10173,3357,2295,597,471,342,1416,4,2,Stable
4146,1146,592,741,204,61,228,10,4,At Risk
3767,820,530,525,326,114,1315,7,3,Stable
2200,483,404,14,186,50,620,2,3,Stable
1492,440,242,124,127,30,507,10,3,Stable
1394,459,245,15,120,64,118,5,2,At Risk
2768,906,298,636,149,70,652,6,3,Stable
1973,603,484,562,190,85,779,2,0,At Risk
2863,797,311,429,265,123,882,1,1,Stable
2778,463,352,465,108,113,721,11,1,Stable
1729,315,348,438,56,64,208,10,4,At Risk
3173,1046,391,18,299,77,778,3,0,Stable
2175,590,252,105,97,62,224,4,0,Stable
1400,212,172,274,114,68,557,10,0,Stable
4846,825,529,1078,370,89,1188,10,3,Stable
10304,2912,1418,1935,831,372,1980,6,3,At Risk
3076,464,432,866,225,122,1122,9,3,Stable
11331,2064,1980,1333,567,187,2467,10,0,Stable
3775,980,625,628,270,112,1007,0,1,Stable
2637,760,451,756,177,41,121,0,4,Critical
3838,1076,738,1035,197,119,519,9,0,At Risk
3349,652,450,30,182,110,279,4,4,Stable
5530,1617,664,584,416,91,784,9,4,Stable
2236,441,518,495,197,67,315,1,4,At Risk
1420,305,277,0,101,18,13,0,1,At Risk
3884,1162,423,1005,235,179,240,7,1,At Risk
2994,838,731,450,115,149,474,3,1,At Risk
3737,1195,762,97,116,182,509,5,1,Stable
1846,519,226,245,66,60,261,7,4,Stable
1866,491,457,275,64,88,232,2,3,At Risk
2512,423,388,276,104,82,950,8,4,Stable
1346,300,333,183,125,63,367,10,1,Stable
1624,329,187,434,65,43,625,10,2,Stable
1774,352,219,172,77,87,689,11,2,Stable
2265,780,449,652,165,110,191,6,1,Critical
3691,843,381,760,249,174,363,3,2,At Risk
5239,1720,538,1408,463,163,499,8,1,Critical
3975,1098,869,249,183,159,1437,5,0,Stable
1711,528,214,252,109,27,598,9,0,Stable
1463,366,347,248,55,63,413,11,3,Stable
7363,1953,1206,188,523,256,250,1,4,At Risk
2623,651,606,388,189,67,812,10,2,Stable
1433,270,233,370,128,70,550,2,3,At Risk
1496,440,268,23,79,24,142,3,1,At Risk
3029,624,446,583,154,135,391,5,2,Stable
2247,347,446,666,217,45,571,7,2,Stable
1489,415,219,235,91,63,307,8,0,Stable
3636,674,485,330,182,181,1040,3,4,Stable
3311,1119,371,581,239,93,692,8,3,Stable
3194,1088,347,518,127,139,45,2,4,At Risk
3406,1134,496,107,194,167,1290,4,2,Stable
3024,677,636,194,187,136,885,4,0,Stable
4498,688,588,903,413,117,1725,5,0,Stable
3116,1045,451,553,251,122,776,4,3,Stable
4082,961,962,421,234,203,1468,10,1,Stable
2990,1026,585,877,187,31,1154,9,2,At Risk
10022,3434,2384,1938,961,276,2708,0,0,At Risk
7838,2512,1855,542,694,186,1625,11,3,Stable
1629,340,178,230,62,56,309,7,2,Stable
2902,658,705,619,159,141,42,4,1,Critical
2702,865,290,544,168,48,560,6,2,Stable
1824,389,435,134,80,78,355,1,2,Stable
10825,1990,1970,2103,422,329,566,3,4,At Risk
1536,401,276,153,80,38,579,11,0,Stable
10357,3492,2143,1421,790,442,1193,6,0,At Risk
10517,3041,2438,2111,1021,460,3999,6,2,At Risk
1741,459,335,303,171,67,660,10,2,Stable
2894,490,474,618,264,36,145,0,4,Critical
3812,1040,445,436,304,170,214,2,4,At Risk
3946,1373,861,890,139,171,1476,6,1,At Risk
1716,305,204,8,53,36,510,10,3,Stable
12055,3057,2518,679,381,410,3766,0,2,Stable
3553,1156,636,1037,131,164,1011,11,0,At Risk
2000,596,315,52,124,42,235,0,4,At Risk
7976,2308,1530,1583,249,212,2057,2,4,Stable
1934,561,417,531,106,25,6,0,0,Critical
2799,621,675,721,270,70,294,5,2,At Risk
2704,564,377,740,187,70,435,6,1,At Risk
3969,1237,960,1171,287,173,744,7,1,Critical
4069,1269,993,436,261,42,92,2,3,Critical
5725,1851,1271,567,565,174,215,8,1,At Risk
1535,510,356,55,63,33,295,2,1,At Risk
12229,3084,2493,739,1201,424,2699,10,3,Stable
1275,319,134,249,79,16,13,8,4,At Risk
7936,2457,1478,788,752,216,2903,5,3,Stable
1308,366,277,133,97,54,84,2,0,At Risk
1265,367,305,245,55,23,197,4,3,At Risk
2124,656,394,66,182,71,125,3,0,At Risk
1758,576,385,29,69,47,627,7,2,Stable
2898,630,596,697,251,82,1086,3,2,At Risk
3470,781,493,822,112,87,470,11,1,At Risk
7048,1189,868,814,281,151,1337,7,3,Stable
3978,1056,845,707,219,60,2,9,2,At Risk
6091,957,822,435,210,128,654,3,0,Stable
1297,315,177,143,113,64,103,0,3,At Risk
4138,1069,813,45,254,198,457,4,0,Stable
8490,1760,1853,696,622,99,641,2,0,Stable
1871,501,350,9,69,28,258,4,2,Stable
4501,702,1047,572,137,197,392,9,1,At Risk
2174,342,286,338,214,37,813,3,3,Stable
5672,1783,781,842,227,146,742,8,4,Stable
7148,1587,1397,730,629,97,2764,6,3,Stable
2628,460,589,163,196,33,1033,4,4,Stable
2144,545,387,292,185,74,487,8,2,Stable
4098,1245,416,1069,295,175,163,11,2,At Risk
1315,254,265,387,75,21,447,7,3,Stable
3562,978,790,334,238,117,1276,10,1,Stable
2294,383,324,670,154,88,456,7,0,At Risk
1733,277,187,225,73,84,257,10,2,Stable
2849,730,506,524,212,142,324,6,3,At Risk
8307,2144,883,2002,350,196,2642,11,0,Stable
3716,1031,603,400,252,74,1168,4,1,Stable
5053,1491,518,315,389,175,867,4,4,Stable
1976,682,264,161,171,33,459,3,3,Stable
11574,2931,1832,2911,787,264,2445,8,3,Stable
3084,661,360,864,225,102,283,4,4,At Risk
3281,1013,384,126,265,38,607,0,2,At Risk
1648,336,369,343,91,45,262,7,3,At Risk
1447,344,153,15,48,32,11,11,2,Stable
2253,373,458,591,114,30,400,10,1,At Risk
4721,732,1048,1213,180,68,1314,7,3,Stable
1624,556,194,377,135,38,431,0,1,At Risk
2157,684,278,533,187,32,179,2,2,Critical
11756,3399,2306,2131,1149,433,1646,1,4,At Risk
11493,2663,1693,507,828,175,1615,8,0,Stable
8813,1627,1511,2417,558,167,355,2,1,Critical
5283,957,1190,223,506,138,2077,10,0,Stable
6841,1368,825,462,645,289,2215,5,3,Stable
2343,608,452,304,175,74,508,4,4,Stable
2163,633,522,323,182,79,497,8,0,At Risk
4051,1142,440,117,177,103,934,7,3,Stable
3609,743,393,824,238,84,293,4,4,At Risk
8576,2924,1571,353,461,334,108,2,4,At Risk
8310,2472,2027,1632,728,209,2074,8,1,At Risk
8358,2180,1112,1133,771,295,1290,0,3,At Risk
3139,854,469,763,182,104,894,11,4,Stable
8800,2058,1010,780,558,432,2222,5,3,Stable
3857,769,595,967,178,78,84,0,0,Critical
3835,848,409,290,350,41,510,8,4,Stable
1648,496,260,283,65,50,391,4,4,Stable
3729,570,683,543,351,74,1101,4,0,Stable
2528,437,622,267,185,123,996,8,3,Stable
1457,231,324,5,68,56,515,7,3,Stable
11897,1881,2656,1419,711,249,2251,2,4,Stable
10844,3481,1455,385,402,366,3084,5,4,Stable
2875,835,325,194,205,46,719,10,4,Stable
4420,1082,841,912,382,197,143,11,1,Critical
3050,517,543,522,230,70,1067,2,3,Stable
3058,759,542,483,127,143,4,6,0,At Risk
1323,323,153,223,90,33,171,3,2,Stable
3924,724,683,141,345,45,691,8,2,Stable
1595,377,195,78,143,36,94,11,0,Stable
2516,577,410,409,206,102,848,3,0,Stable
1839,502,201,224,102,64,357,11,3,Stable
10293,2851,2352,1430,1014,428,3893,1,0,At Risk
3661,582,373,965,319,135,672,6,2,At Risk
2668,600,642,148,237,93,822,10,2,Stable
2756,758,632,752,246,55,612,10,0,At Risk
11816,2961,2515,3039,960,412,3256,0,0,At Risk
3011,967,744,814,196,142,1125,11,1,At Risk
10320,2907,1115,1985,631,410,109,3,4,At Risk
2684,490,526,695,223,43,492,11,2,At Risk
10802,1772,2456,3212,691,309,2151,0,4,At Risk
3604,1003,428,509,335,153,1059,5,2,Stable
3412,529,640,882,156,45,13,8,1,At Risk
3359,897,534,910,284,48,452,5,3,At Risk
3934,1329,650,365,183,54,1181,8,2,Stable
4859,1288,1150,645,305,107,762,8,4,At Risk
4662,1061,842,802,167,140,849,0,3,At Risk
1345,374,153,140,87,46,51,7,2,At Risk
3245,784,780,313,217,76,91,11,4,At Risk
4141,1073,529,472,176,67,451,10,0,Stable
2017,682,471,256,106,42,42,3,4,Critical
9718,2208,2387,735,435,153,2836,5,0,Stable
3692,1263,855,524,221,131,1403,4,4,At Risk
2658,879,535,620,198,84,611,10,3,Critical
1900,359,401,355,75,31,237,10,4,Stable
1686,276,345,192,97,49,65,1,1,At Risk
2921,497,493,136,199,96,903,1,0,Stable
1528,234,215,377,131,31,273,3,3,At Risk
2375,401,339,364,174,40,24,0,3,At Risk
3697,1059,775,1077,324,161,508,9,4,Critical
2055,337,398,155,71,45,102,3,4,Stable
2663,569,499,140,114,70,1007,7,2,Stable
9136,2914,1807,21,865,455,3100,0,3,At Risk
1927,298,416,47,147,53,351,2,1,Stable
11255,3521,2388,1301,662,283,758,10,4,At Risk
1389,286,160,82,76,32,452,9,4,Stable
1542,267,238,17,126,29,363,2,4,Stable
5273,1525,736,356,485,187,1549,7,0,Stable
1854,511,335,405,124,73,703,4,2,At Risk
2844,925,310,627,111,51,287,4,0,At Risk
11955,3550,2562,536,1084,391,2299,3,3,Stable
2036,632,236,572,118,79,594,4,4,At Risk
2358,486,331,112,217,78,590,7,3,Stable
3787,702,823,101,317,180,85,9,1,Stable
2353,706,253,115,124,76,381,1,4,Stable
3677,1144,731,155,139,54,533,1,2,Stable
12119,4218,2892,2296,795,590,4664,2,3,At Risk
3685,856,709,172,131,145,675,10,1,Stable
3434,770,710,653,302,142,493,4,2,At Risk
3470,1059,759,287,117,109,1332,11,2,Stable
3170,691,422,236,304,71,199,5,2,Stable
2422,814,453,651,156,118,616,10,2,At Risk
12343,3970,1806,793,787,512,1744,4,3,Stable
3903,920,536,1012,347,61,1145,6,2,Stable
1487,446,191,135,101,36,439,1,0,Stable
7513,2260,1411,2234,447,345,1648,2,1,At Risk
3190,544,699,938,141,108,1139,7,0,Stable
4985,1647,1153,1237,404,73,1747,10,0,At Risk
2045,513,335,532,132,29,529,8,2,Stable
2613,823,407,645,170,39,568,4,4,At Risk
1634,349,331,308,78,18,224,0,0,At Risk
3555,1169,771,862,142,112,636,9,1,At Risk
3831,872,528,722,199,142,748,6,0,Stable
12058,1834,1743,3046,1041,337,3943,11,4,Stable
3372,1116,606,946,249,100,1269,10,3,At Risk
3140,528,523,709,171,41,380,2,2,At Risk
1320,282,271,382,66,31,314,0,1,At Risk
2755,936,483,370,83,101,964,10,0,Stable
1819,618,212,504,58,47,578,9,4,Stable
2244,593,280,152,142,42,169,4,2,Stable
7099,1961,1670,66,340,209,2079,9,2,Stable
3428,821,459,131,327,53,13,11,2,Stable
1583,330,170,76,109,42,201,2,0,Stable
1671,360,350,413,155,55,259,4,3,At Risk
3589,1021,727,431,158,63,136,3,1,At Risk
12321,3702,2341,861,475,555,3158,11,0,Stable
1576,485,276,384,139,38,74,0,3,Critical
2704,832,663,163,196,33,532,10,3,Stable
3258,548,384,76,259,45,12,4,0,Stable
2980,741,526,416,204,122,441,4,1,Stable
2957,477,545,61,162,146,1068,2,3,Stable
1531,397,158,128,76,18,80,8,0,Stable
2263,539,366,475,82,44,267,1,1,At Risk
3916,1282,851,440,139,161,1174,10,2,Stable
11888,2617,2028,311,731,221,4552,2,1,Stable
4154,720,960,502,209,175,852,4,1,Stable
3529,630,694,543,248,135,43,0,0,At Risk
3539,1069,760,265,281,101,581,7,2,Stable
3646,997,804,186,276,50,142,1,3,At Risk
6279,1068,1277,1434,576,130,2398,7,3,Stable
3177,529,674,64,258,71,812,8,1,Stable
2525,732,515,724,145,123,698,11,0,At Risk
2068,340,377,4,114,97,359,2,1,Stable
2188,687,404,427,74,25,563,9,1,Stable
1284,373,164,51,88,55,350,0,1,Stable
2946,489,660,483,228,89,117,9,2,At Risk
1522,254,223,85,79,47,196,5,2,Stable
2684,932,484,27,239,98,825,10,1,Stable
3254,731,447,839,179,153,1256,7,0,Stable
7376,1653,1507,938,405,339,2399,6,1,Stable
3424,1070,843,282,178,126,655,6,4,Stable
2194,744,483,623,80,76,583,7,2,At Risk
1284,445,247,31,127,22,421,6,1,Stable
1878,564,347,196,119,22,455,0,4,At Risk
4041,910,700,215,387,172,311,11,3,Stable
3212,535,419,955,225,70,481,7,2,At Risk
3532,1078,537,578,320,118,779,6,0,Stable
2824,738,454,688,203,123,786,4,1,Stable
2708,635,654,132,204,122,828,5,3,Stable
2955,978,484,269,285,106,31,0,4,At Risk
2746,472,516,510,228,42,620,10,4,Stable
1675,416,399,89,71,56,596,9,3,Stable
4159,633,739,623,316,109,754,1,2,Stable
3182,775,438,889,171,39,739,9,2,Stable
1863,300,292,519,108,92,570,6,0,Stable
3956,687,618,421,359,88,299,8,3,At Risk
9289,1611,1924,1438,833,288,777,9,3,At Risk
2929,819,423,174,160,124,1158,6,4,Stable
1720,514,360,504,160,51,266,1,0,Critical
1492,397,348,232,94,29,133,6,0,At Risk
3029,1037,455,187,151,51,139,11,1,At Risk
2449,550,294,620,80,114,532,6,3,Stable
7629,1580,1493,962,394,205,747,5,2,At Risk
1310,424,201,250,109,27,232,8,1,At Risk
8376,1630,1508,2119,533,254,3186,0,0,At Risk
1308,448,255,121,58,24,338,11,3,Stable
2410,367,388,417,152,52,864,8,1,Stable
2648,910,632,44,247,106,491,0,2,At Risk
1866,296,298,131,94,77,666,3,2,Stable
3288,1079,480,136,256,74,1082,7,3,Stable
1613,412,375,311,63,19,218,9,0,At Risk
2675,932,322,204,243,67,731,2,0,Stable
3942,649,467,898,258,146,1218,3,3,Stable
1707,445,410,389,85,79,535,2,1,At Risk
4861,1671,638,1143,435,192,877,2,3,Critical
3030,771,370,120,121,51,909,11,3,Stable
3214,886,579,507,175,95,784,1,2,Stable
3888,1124,416,792,162,88,1513,7,3,Stable
2177,524,420,210,198,83,73,9,0,At Risk
3081,848,517,240,186,150,692,0,1,Stable
1347,359,264,290,68,21,250,11,1,At Risk
3516,1161,501,370,316,77,119,11,2,At Risk
4255,676,1003,317,396,139,742,8,3,Stable
2795,576,392,471,102,49,891,6,1,Stable
3270,1112,639,608,235,84,221,1,4,Critical
3045,998,736,709,209,129,109,1,1,Critical
3057,737,489,37,270,72,1059,6,2,Stable
2181,597,270,114,142,37,660,10,1,Stable
3160,649,348,736,115,73,851,10,4,Stable
2029,380,495,323,198,81,756,7,4,Stable
6142,1490,1317,1485,419,132,1347,9,1,At Risk
7341,1619,1746,987,547,254,1417,0,1,At Risk
1993,531,408,274,67,84,741,9,3,Stable
3282,543,496,371,282,55,390,2,1,Stable
4733,1632,560,981,441,205,1513,11,0,At Risk
10188,3537,2438,1803,512,273,2032,11,4,At Risk
3218,932,558,379,161,124,386,3,2,At Risk
11072,2847,1765,622,490,504,419,7,0,Stable
1838,389,343,1,125,86,650,11,4,Stable
2209,690,256,60,69,54,116,7,3,Stable
1378,395,201,44,53,68,322,7,0,Stable
3056,557,598,522,222,97,1148,4,0,Stable
8061,2677,927,1835,515,329,2732,6,0,At Risk
3547,1115,426,486,291,94,1209,8,4,Stable
3193,1085,563,396,261,73,847,8,2,Stable
2838,837,549,112,171,105,904,6,2,Stable
11121,3032,1424,3006,859,185,362,9,4,At Risk
3129,731,328,690,282,144,928,1,2,At Risk
8724,2936,2126,1091,626,399,2048,6,1,At Risk
3496,1129,364,101,341,169,990,0,3,Stable
6524,1037,654,1655,649,164,2070,3,1,Stable
2400,372,356,122,158,46,433,4,0,Stable
3452,777,460,697,166,83,669,6,0,At Risk
2729,851,507,278,232,86,367,4,1,At Risk
3438,1194,804,886,145,39,519,4,2,Critical
8987,1618,1547,1582,756,272,1522,6,0,Stable
1360,365,293,92,83,14,321,10,0,Stable
3394,767,802,12,286,142,692,3,0,Stable
7159,2462,919,456,364,200,2442,6,4,Stable
3233,1029,560,354,199,64,712,1,2,Stable
2905,922,570,617,257,34,271,4,2,Critical
4131,1006,618,267,222,139,508,11,0,Stable
1799,419,379,141,105,52,79,4,1,At Risk
3482,712,716,454,244,152,212,2,0,At Risk
3357,541,547,43,251,157,598,8,1,Stable
3598,1161,407,829,155,110,1280,7,0,Stable
12020,3757,1222,283,875,261,2828,3,3,Stable
5457,1909,848,1206,347,94,42,8,3,Critical
2971,1037,333,238,253,36,142,7,1,At Risk
1645,429,357,226,124,45,653,8,2,Stable
11397,3462,1711,1403,740,339,4004,8,3,Stable
4952,1678,989,376,446,91,373,5,2,At Risk
4475,1431,680,343,322,57,97,2,1,At Risk
6696,1335,1469,1906,420,265,302,5,3,Critical
8814,2116,2055,807,384,281,3272,2,3,Stable
2343,411,528,128,104,105,141,7,2,Stable
6289,2143,1085,472,254,261,2394,4,0,Stable
2473,670,278,515,216,33,748,3,0,Stable
1292,252,201,119,41,46,17,4,4,Stable
4081,1160,667,210,399,188,123,8,0,At Risk
4108,1124,1002,510,293,149,1443,10,4,Stable
3584,794,662,126,135,118,1224,11,1,Stable
3246,560,636,388,281,149,875,5,4,Stable
6965,1980,1513,1801,635,230,1998,10,0,At Risk
2692,683,498,301,150,128,593,10,3,Stable
1425,433,270,219,78,56,518,2,2,Stable
7199,1828,984,1704,642,123,1766,9,2,Stable
3141,1006,341,486,200,40,721,6,3,Stable
4135,1076,860,58,272,182,1128,0,3,Stable
2963,776,673,190,273,103,718,0,1,Stable
3542,1152,573,950,138,140,1053,4,1,At Risk
3571,823,651,859,328,42,382,10,1,At Risk
9303,1644,1359,2122,882,116,1328,1,0,At Risk
2166,337,362,355,67,98,418,2,2,Stable
3061,921,402,324,238,56,507,5,1,At Risk
3402,932,727,708,169,140,1154,7,2,At Risk
3779,1098,656,752,262,46,919,6,4,Stable
2403,462,437,463,181,89,742,5,2,Stable
1765,312,186,266,125,79,201,7,4,Stable
2720,415,525,211,210,93,891,9,4,Stable
1527,336,199,199,105,74,578,6,3,Stable
2840,761,447,436,232,70,260,6,0,At Risk
7619,1740,1233,493,514,84,342,7,0,Stable
3292,781,550,227,145,129,1100,0,4,Stable
1842,609,247,437,80,56,468,9,3,At Risk
2360,518,536,226,178,87,320,6,4,Stable
4093,1034,671,1195,268,195,1590,11,4,At Risk
